message,sentiment
This movie was not worth watching,negative
I don't care one way or the other,neutral
The beach was crowded and dirty,negative
The food was below average,negative
I regret purchasing this product,negative
The view from here is unappealing,negative
The museum was uninteresting,negative
I have no strong feelings about this,neutral
The hotel was overpriced,negative
This software is a nightmare to use,negative
The game was frustrating,negative
The speaker was dull,negative
I wouldn't recommend this,negative
The car is old and unreliable,negative
I'm undecided about this,neutral
The service at this restaurant was terrible,negative
The scenery here is unremarkable,neutral
This company is horrible,negative
The movie was not enjoyable,negative
I'm dissatisfied with this product,negative
I have no opinion on this,neutral
The weather is terrible today,negative
The book was not interesting,negative
I really enjoyed the movie,positive
The food was terrible,negative
I'm not sure how I feel about this,neutral
The service was excellent,positive
I had a bad experience,negative
This is a great product,positive
I wouldn't recommend this,negative
The price is a bit high,neutral
I don't care about this subject,neutral
The hike was uneventful,neutral
This is an average product,neutral
The performance was good,neutral
I have mixed feelings about this,neutral
The food was satisfactory,neutral
The service at this hotel was average,neutral
This phone is average,neutral
The traffic is typical for this time of day,neutral
This movie was average,neutral
I'm indifferent to this,neutral
The beach was average,neutral
The museum was average,neutral
I have no opinion on this,neutral
The hotel was average,neutral
This software is average,neutral
The game was average,neutral
The speaker was average,neutral
I have no strong emotions about this,neutral
The car is average,neutral
I don't have a preference,neutral
The service at this restaurant was average,neutral
The scenery here is average,neutral
This company is average,neutral
The book was average,neutral
I have no strong feelings one way or the other,neutral
The weather is average today,neutral
I'm not particularly interested in this,neutral
The hike was average,neutral
This is a typical product,neutral
The performance was average,neutral
I'm neutral on this,neutral
The food was average,neutral
The service at this hotel was standard,neutral
This phone is standard,neutral
The traffic is normal,neutral
This movie was mediocre,neutral
I have no strong opinion about this,neutral
The beach was unremarkable,neutral
The museum was standard,neutral
I have no strong feelings about this,neutral
The hotel was standard,neutral
This software is standard,neutral
The game was standard,neutral
The speaker was standard,neutral
I'm indifferent to this,neutral
The car is standard,neutral
I have no preference,neutral
The service at this restaurant was standard,neutral
The scenery here is standard,neutral
This company is standard,neutral
The book was standard,neutral
I don't feel strongly about this,neutral
The weather is normal today,neutral
I have no particular interest in this,neutral
The hike was standard,neutral
This is a regular product,neutral
The performance was satisfactory,neutral
I'm undecided on this,neutral
The food was regular,neutral
The service at this hotel was okay,neutral
This phone is regular,neutral
The traffic is average,neutral
This movie was regular,neutral
I have no opinion on this,neutral
The beach was typical,neutral
The museum was okay,neutral
I have no strong opinions about this,neutral
The hotel was average,neutral
This software is regular,neutral
The game was average,neutral
The speaker was average,neutral
I'm neutral about this,neutral
The car is average,neutral
I have no preference,neutral
The service at this restaurant was okay,neutral
The scenery here is regular,neutral
This company is regular,neutral
The book was okay,neutral
I'm neutral on this,neutral
The weather is regular today,neutral
I don't have a particular interest in this,neutral
The hike was regular,neutral
This is an ordinary product,neutral
The performance was typical,neutral
I'm neutral about this,neutral
The food was ordinary,neutral
The service at this hotel was average,neutral
This phone is ordinary,neutral
The traffic is standard,neutral
This movie was ordinary,neutral
I have no strong opinions on this,neutral
The beach was standard,neutral
The museum was average,neutral
I have no opinion on this,neutral
The hotel was ordinary,neutral
This software is ordinary,neutral
The pizza was delicious,positive
I had an amazing time at the party,positive
The hotel was great,positive
This phone is fantastic,positive
The view from the top was breathtaking,positive
The customer service was excellent,positive
I love this product,positive
The movie was fantastic,positive
I had a great experience,positive
The food was delicious,positive
The staff at the restaurant was wonderful,positive
I'm really happy with my purchase,positive
The hotel room was comfortable,positive
I enjoyed every moment of my vacation,positive
The service at this spa was amazing,positive
I'm impressed with the quality of this product,positive
The atmosphere at the party was fun,positive
This restaurant has amazing food,positive
The staff at the hotel were friendly and helpful,positive
The concert was incredible,positive
I'm in love with this place,positive
The drinks were great,positive
The service at this restaurant was excellent,positive
I can't wait to come back here,positive
The hotel staff went above and beyond,positive
I'm so glad I tried this product,positive
The beach was beautiful,positive
The staff at the store were so helpful,positive
This is the best phone I've ever owned,positive
The show was amazing,positive
I'm so happy I booked this vacation,positive
The coffee was excellent,positive
The staff at the spa were very professional,positive
I'm really impressed with this company,positive
The service at the hotel was outstanding,positive
The food at this restaurant was top-notch,positive
I love the design of this product,positive
The hotel amenities were great,positive
The staff at the museum were very knowledgeable,positive
I had a wonderful time at the event,positive
I'm so grateful for the help I received from customer service,positive
The product exceeded my expectations,positive
The room was clean and comfortable,positive
I'm really enjoying this book,positive
The service at this salon was top-notch,positive
I'm so glad I made this purchase,positive
The food at the wedding was delicious,positive
The service at this hotel was mediocre,neutral
The scenery here is breathtaking,positive
This company is excellent,positive
The movie was okay,neutral
I'm not happy with this product,negative
I don't really have an opinion on this,neutral
The weather is nice today,positive
The book was okay,neutral
I don't care about this,neutral
The hike was invigorating,positive
This is a terrible company,negative
The performance was below average,negative
I'm not sure if I want to pursue this,neutral
The food was not bad,neutral
The service at this hotel was mediocre,neutral
This phone is just okay,neutral
The traffic is heavy,negative
This movie was disappointing,negative
I'm not interested in this,neutral
The beach was dirty,negative
The food was terrible and overpriced,negative
I regret buying this,negative
The view from here is unremarkable,neutral
The museum was dull,negative
I have no strong opinion on this,neutral
The hotel was noisy during the day,neutral
This software is frustrating to use,negative
The game was boring,negative
The speaker was uninteresting,negative
I did not enjoy this,negative
The car is expensive,negative
I'm unsure about this,neutral
The service at this restaurant was poor,negative
The scenery here is unimpressive,neutral
This company is awful,negative
The movie was terrible,negative
I'm very unhappy with this product,negative
I have no preference,neutral
The weather is awful today,negative
The book was boring,negative
I'm not interested in this topic,neutral
The hike was difficult,negative
This is a useless product,negative
The performance was excellent,positive
I'm on the fence about this,neutral
The food was not good,negative
The service at this hotel was poor,negative
This phone is disappointing,negative
The traffic is unbearable,negative
This movie was not worth watching,negative
I don't care one way or the other,neutral
The beach was crowded and dirty,negative
The food was below average,negative
I regret purchasing this product,negative
The view from here is unappealing,negative
The museum was uninteresting,negative
I have no strong feelings about this,neutral
The hotel was overpriced,negative
This software is a nightmare to use,negative
The game was frustrating,negative
The speaker was dull,negative
I wouldn't recommend this,negative
The car is old and unreliable,negative
I'm undecided about this,neutral
The service at this restaurant was terrible,negative
The scenery here is unremarkable,neutral
This company is horrible,negative
The movie was not enjoyable,negative
I'm dissatisfied with this product,negative
I have no opinion on this,neutral
The weather is terrible today,negative
The book was not interesting,negative
I really enjoyed the movie,positive
The food was terrible,negative
I'm not sure how I feel about this,neutral
The service was excellent,positive
I had a bad experience,negative
This is a great product,positive
I wouldn't recommend this,negative
The price is a bit high,neutral
I don't care about this subject,neutral
The hike was uneventful,neutral
This is an average product,neutral
The performance was good,neutral
I have mixed feelings about this,neutral
The food was satisfactory,neutral
The service at this hotel was average,neutral
This phone is average,neutral
The traffic is typical for this time of day,neutral
This movie was average,neutral
I'm indifferent to this,neutral
The beach was average,neutral
The museum was average,neutral
I have no opinion on this,neutral
The hotel was average,neutral
This software is average,neutral
The game was average,neutral
The speaker was average,neutral
I have no strong emotions about this,neutral
The car is average,neutral
I don't have a preference,neutral
The service at this restaurant was average,neutral
The scenery here is average,neutral
This company is average,neutral
The book was average,neutral
I have no strong feelings one way or the other,neutral
The weather is average today,neutral
I'm not particularly interested in this,neutral
The hike was average,neutral
This is a typical product,neutral
The performance was average,neutral
I'm neutral on this,neutral
The food was average,neutral
The service at this hotel was standard,neutral
This phone is standard,neutral
The traffic is normal,neutral
This movie was mediocre,neutral
I have no strong opinion about this,neutral
The beach was unremarkable,neutral
The museum was standard,neutral
I have no strong feelings about this,neutral
The hotel was standard,neutral
This software is standard,neutral
The game was standard,neutral
The speaker was standard,neutral
I'm indifferent to this,neutral
The car is standard,neutral
I have no preference,neutral
The service at this restaurant was standard,neutral
The scenery here is standard,neutral
This company is standard,neutral
The book was standard,neutral
I don't feel strongly about this,neutral
The weather is normal today,neutral
I have no particular interest in this,neutral
The hike was standard,neutral
This is a regular product,neutral
The performance was satisfactory,neutral
I'm undecided on this,neutral
The food was regular,neutral
The service at this hotel was okay,neutral
This phone is regular,neutral
The traffic is average,neutral
This movie was regular,neutral
I have no opinion on this,neutral
The beach was typical,neutral
The museum was okay,neutral
I have no strong opinions about this,neutral
The hotel was average,neutral
This software is regular,neutral
The game was average,neutral
The speaker was average,neutral
I'm neutral about this,neutral
The car is average,neutral
I have no preference,neutral
The service at this restaurant was okay,neutral
The scenery here is regular,neutral
This company is regular,neutral
The book was okay,neutral
I'm neutral on this,neutral
The weather is regular today,neutral
I don't have a particular interest in this,neutral
The hike was regular,neutral
This is an ordinary product,neutral
The performance was typical,neutral
I'm neutral about this,neutral
The food was ordinary,neutral
The service at this hotel was average,neutral
This phone is ordinary,neutral
The traffic is standard,neutral
This movie was ordinary,neutral
I have no strong opinions on this,neutral
The beach was standard,neutral
The museum was average,neutral
I have no opinion on this,neutral
The hotel was ordinary,neutral
This software is ordinary,neutral
The pizza was delicious,positive
I had an amazing time at the party,positive
The hotel was great,positive
This phone is fantastic,positive
The view from the top was breathtaking,positive
The customer service was excellent,positive
I love this product,positive
The movie was fantastic,positive
I had a great experience,positive
The food was delicious,positive
The staff at the restaurant was wonderful,positive
I'm really happy with my purchase,positive
The hotel room was comfortable,positive
I enjoyed every moment of my vacation,positive
The service at this spa was amazing,positive
I'm impressed with the quality of this product,positive
The atmosphere at the party was fun,positive
This restaurant has amazing food,positive
The staff at the hotel were friendly and helpful,positive
The concert was incredible,positive
I'm in love with this place,positive
The drinks were great,positive
The service at this restaurant was excellent,positive
I can't wait to come back here,positive
The hotel staff went above and beyond,positive
I'm so glad I tried this product,positive
The beach was beautiful,positive
The staff at the store were so helpful,positive
This is the best phone I've ever owned,positive
The show was amazing,positive
I'm so happy I booked this vacation,positive
The coffee was excellent,positive
The staff at the spa were very professional,positive
I'm really impressed with this company,positive
The service at the hotel was outstanding,positive
The food at this restaurant was top-notch,positive
I love the design of this product,positive
The hotel amenities were great,positive
The staff at the museum were very knowledgeable,positive
I had a wonderful time at the event,positive
I'm so grateful for the help I received from customer service,positive
The product exceeded my expectations,positive
The room was clean and comfortable,positive
I'm really enjoying this book,positive
The service at this salon was top-notch,positive
I'm so glad I made this purchase,positive
The food at the wedding was delicious,positive
Hey.. what's up?,neutral
I'm feeling so-so,neutral
Thanks for your help!,neutral
I'm not sure what to do,neutral
Can we reschedule our meeting?,neutral
I'm on my way!,neutral
This weather is crazy,neutral
I'm not feeling great,neutral
I'm looking forward to our vacation!,neutral
I don't know what I want to eat,neutral
I'm in the middle of something. can I call you back later?,neutral
I'm trying to decide between two options,neutral
It was nice meeting you!,neutral
I'm just hanging out at home,neutral
I'm not really sure what you mean,neutral
I'm sorry. I can't make it to the party,neutral
I'm so tired,neutral
Can you remind me of the details?,neutral
I'm not feeling very productive today,neutral
I'm just doing some work from home today,neutral
My computer crashed and I lost all my important files,negative
